iter	Passed	Remaining
153	58932	323743
154	59238	322945
155	59615	322536
156	60050	322438
157	60407	321919
158	60803	321607
159	61199	321298
160	61578	320897
161	61999	320714
162	62320	320012
163	62691	319572
164	63137	319512
165	63518	319123
166	63922	318846
167	64316	318520
168	64718	318233
169	65097	317827
170	65476	317427
171	65887	317177
172	66311	316989
173	66754	316890
174	67099	316326
175	67480	315932
176	67834	315413
177	68150	314716
178	68537	314355
179	68947	314094
180	69375	313916
181	69783	313640
182	70193	313378
183	70506	312681
184	70892	312310
185	71247	311801
186	71632	311428
187	72064	311258
188	72418	310746
189	72757	310176
190	73153	309848
191	73551	309529
192	73889	308958
193	74324	308791
194	74711	308424
195	75076	307965
196	75484	307683
197	75882	307361
198	76286	307061
199	76661	306646
200	77044	306260
201	77427	305875
202	77813	305503
203	78196	305118
204	78569	304697
205	78982	304425
206	79327	303897
207	79726	303572
208	80058	302996
209	80434	302588
210	80816	302200
211	81202	301828
212	81561	301357
213	81978	301098
214	82381	300789
215	82766	300410
216	83156	300051
217	83545	299691
218	83935	299332
219	84356	299081
220	84737	298689
221	85137	298363
222	85535	298032
223	85925	297670
224	86306	297277
225	86702	296935
226	87078	296527
227	87367	295823
228	87807	295631
229	88169	295175
230	88595	294936
231	88941	294425
232	89355	294144
233	89761	293834
234	90104	293319
235	90483	292920
236	90782	292265
237	91149	291833
238	91538	291468
239	91907	291040
240	92250	290530
241	92613	290086
242	92979	289653
243	93373	289305
244	93824	289132
245	94211	288761
246	94527	288175
247	94990	288035
248	95377	287665
249	95783	287349
250	96174	286991
251	96490	286407
252	96953	286263
253	97326	285849
254	97683	285389
255	98057	284981
256	98465	284667
257	98854	284301
258	99235	283911
259	99597	283469
260	99982	283092
261	100335	282623
262	100721	282249
263	101070	281773
264	101465	281423
265	101901	281186
266	102305	280861
267	102692	280488
268	103019	279953
269	103441	279674
270	103859	279385
271	104241	278998
272	104649	278683
273	104995	278200
274	105336	277706
275	105717	277316
276	106174	277126
277	106496	276584
278	106882	276207
279	107305	275927
280	107649	275445
281	108012	275009
282	108397	274632
283	108769	274221
284	109158	273853
285	109582	273573
286	109956	273166
287	110363	272842
288	110752	272473
289	111086	271969
290	111523	271718
291	111922	271373
292	112318	271020
293	112699	270631
294	113100	270291
295	113423	269763
296	113839	269458
297	114203	269029
298	114619	268722
299	114933	268177
300	115305	267768
301	115735	267494
302	116068	266996
303	116443	266594
304	116864	266297
305	117248	265915
306	117543	265333
307	117970	265051
308	118370	264704
309	118756	264329
310	119151	263971
311	119542	263606
312	119912	263194
313	120320	262866
314	120714	262505
315	121059	262039
316	121474	261725
317	121845	261316
318	122239	260957
319	122624	260576
320	122974	260123
321	123341	259706
322	123754	259386
323	124095	258916
324	124451	258476
325	124816	258057
326	125216	257709
327	125600	257326
328	126076	257134
329	126468	256768
330	126853	256389
331	127247	256027
332	127649	255681
333	128075	255384
334	128434	254952
335	128797	254528
336	129156	254096
337	129512	253660
338	129853	253195
339	130217	252775
340	130594	252379
341	130983	252009
342	131346	251588
343	131733	251212
344	132113	250825
345	132484	250418
346	132828	249962
347	133221	249599
348	133616	249239
349	133938	248742
350	134394	248495
351	134801	248158
352	135190	247784
353	135570	247396
354	135922	246957
355	136351	246657
356	136727	246262
357	137113	245885
358	137492	245494
359	137893	245143
360	138259	244730
361	138610	244291
362	138997	243915
363	139357	243493
364	139713	243063
365	140074	242642
366	140462	242269
367	140846	241888
368	141218	241487
369	141560	241034
370	141967	240693
371	142297	240223
372	142684	239848
373	143054	239443
374	143493	239155
375	143832	238700
376	144175	238252
377	144542	237844
378	144909	237436
379	145282	237040
380	145629	236599
381	146019	236231
382	146368	235794
383	146754	235418
384	147121	235013
385	147493	234613
386	147844	234182
387	148254	233844
388	148598	233402
389	149023	233087
390	149340	232603
391	149725	232226
392	150084	231809
393	150451	231404
394	150867	231076
395	151243	230684
396	151659	230354
397	151955	229841
398	152341	229466
399	152690	229036
400	153053	228626
401	153432	228240
402	153822	227870
403	154197	227480
404	154514	227002
405	154881	226599
406	155275	226237
407	155635	225823
408	156036	225470
409	156439	225120
410	156714	224586
411	157074	224173
412	157469	223812
413	157822	223390
414	158237	223057
415	158573	222613
416	158947	222221
417	159308	221812
418	159658	221388
419	160042	221011
420	160450	220667
421	160896	220374
422	161227	219925
423	161592	219522
424	161962	219125
425	162307	218696
426	162688	218314
427	163010	217855
428	163541	217674
429	163923	217293
430	164280	216880
431	164580	216392
432	164965	216017
433	165366	215662
434	165720	215245
435	166103	214867
436	166437	214426
437	166841	214075
438	167168	213625
439	167550	213246
440	167921	212853
441	168258	212417
442	168613	212003
443	168978	211604
444	169366	211232
445	169774	210885
446	170168	210521
447	170542	210132
448	170935	209766
449	171307	209375
450	171609	208898
451	171979	208505
452	172352	208116
453	172725	207726
454	173104	207344
455	173478	206956
456	173826	206538
457	174204	206155
458	174588	205778
459	174989	205422
460	175339	205006
461	175724	204632
462	176051	204189
463	176422	203797
464	176863	203488
465	177236	203099
466	177639	202745
467	178028	202374
468	178401	201985
469	178780	201603
470	179259	201333
471	179647	200961
472	179908	200447
473	180270	200047
474	180661	199678
475	181025	199280
476	181339	198827
477	181772	198504
478	182067	198031
479	182454	197659
480	182830	197274
481	183200	196884
482	183622	196547
483	184029	196196
484	184407	195814
485	184767	195412
486	185069	194950
487	185459	194580
488	185826	194186
489	186127	193724
490	186511	193348
491	186892	192969
492	187214	192530
493	187617	192174
494	188015	191813
495	188328	191366
496	188733	191012
497	189020	190539
498	189407	190166
499	189782	189782
500	190161	189402
501	190521	189003
502	190885	188608
503	191274	188238
504	191657	187862
505	191993	187440
506	192362	187050
507	192751	186680
508	193158	186327
509	193562	185971
510	193884	185537
511	194318	185209
512	194621	184757
513	195070	184444
514	195403	184020
515	195748	183609
516	196148	183249
517	196546	182887
518	196907	182490
519	197283	182108
520	197653	181719
521	197985	181296
522	198318	180875
523	198682	180482
524	199050	180093
525	199357	179649
526	199791	179319
527	200107	178883
528	200468	178489
529	200826	178091
530	201213	177719
531	201591	177339
532	201967	176958
533	202337	176571
534	202708	176185
535	203123	175838
536	203436	175402
537	203828	175034
538	204172	174626
539	204542	174239
540	204923	173862
541	205298	173481
542	205686	173110
543	206050	172718
544	206423	172335
545	206787	171944
546	207144	171547
547	207520	171166
548	207889	170780
549	208247	170384
550	208611	169993
551	209055	169668
552	209457	169308
553	209845	168937
554	210229	168562
555	210616	168190
556	210962	167785
557	211352	167415
558	211730	167035
559	212067	166624
560	212435	166237
561	212810	165855
562	213198	165484
563	213535	165073
564	213924	164703
565	214305	164326
566	214672	163938
567	215041	163553
568	215442	163190
569	215800	162797
570	216212	162443
571	216595	162068
572	216963	161681
573	217334	161296
574	217688	160900
575	218129	160567
576	218502	160184
577	218854	159786
578	219165	159358
579	219543	158979
580	219942	158615
581	220273	158203
582	220676	157842
583	221044	157456
584	221409	157068
585	221793	156693
586	222246	156367
587	222568	155949
588	222932	155561
589	223321	155189
590	223716	154822
591	224160	154489
592	224537	154109
593	224879	153705
594	225285	153345
595	225655	152960
596	226005	152563
597	226453	152231
598	226831	151852
599	227212	151475
600	227551	151069
601	227956	150708
602	228345	150336
603	228708	149948
604	229084	149567
605	229472	149194
606	229879	148834
607	230240	148444
608	230648	148084
609	231023	147703
610	231340	147285
611	231738	146918
612	232143	146557
613	232500	146164
614	232878	145785
615	233257	145407
616	233634	145027
617	233985	144632
618	234340	144238
619	234763	143887
620	235119	143494
621	235481	143105
622	235807	142695
623	236246	142353
624	236550	141930
625	236944	141560
626	237357	141203
627	237668	140784
628	238083	140427
629	238408	140017
630	238776	139632
631	239112	139230
632	239504	138859
633	239849	138461
634	240217	138077
635	240570	137685
636	240889	137272
637	241311	136919
638	241618	136501
639	242007	136129
640	242392	135754
641	242818	135403
642	243192	135022
643	243602	134662
644	243967	134276
645	244326	133887
646	244727	133522
647	245085	133133
648	245396	132718
649	245806	132357
650	246261	132020
651	246627	131635
652	246946	131225
653	247357	130865
654	247771	130505
655	248146	130125
656	248545	129758
657	248918	129377
658	249271	128985
659	249610	128587
660	250030	128230
661	250367	127830
662	250777	127469
663	251153	127089
664	251601	126746
665	251974	126365
666	252406	126013
667	252812	125649
668	253135	125243
669	253538	124877
670	253915	124497
671	254315	124130
672	254650	123730
673	255045	123360
674	255409	122974
675	255799	122602
676	256158	122214
677	256502	121819
678	256943	121470
679	257326	121094
680	257705	120716
681	258157	120372
682	258554	120002
683	258894	119606
684	259310	119245
685	259666	118856
686	260047	118478
687	260502	118134
688	260864	117748
689	261238	117368
690	261641	117000
691	261998	116611
692	262325	116210
693	262696	115828
694	263105	115463
695	263445	115067
696	263894	114720
697	264286	114347
698	264681	113975
699	265071	113602
700	265424	113212
701	265833	112846
702	266224	112473
703	266612	112098
704	267055	111746
705	267488	111390
706	267885	111018
707	268222	110622
708	268650	110264
709	269035	109887
710	269363	109488
711	269791	109129
712	270128	108733
713	270474	108341
714	270886	107975
715	271244	107588
716	271624	107210
717	272047	106848
718	272454	106480
719	272815	106094
720	273123	105688
721	273511	105313
722	273872	104927
723	274308	104570
724	274757	104218
725	275198	103862
726	275528	103465
727	275916	103089
728	276306	102714
729	276714	102346
730	277080	101962
731	277414	101567
732	277849	101208
733	278188	100815
734	278575	100438
735	278964	100063
736	279388	99700
737	279744	99313
738	280173	98951
739	280487	98549
740	280900	98182
741	281258	97796
742	281661	97425
743	281988	97028
744	282356	96645
745	282733	96265
746	283126	95891
747	283517	95516
748	283912	95142
749	284269	94756
750	284624	94369
751	285013	93993
752	285443	93631
753	285853	93262
754	286238	92885
755	286656	92518
756	287029	92137
757	287445	91770
758	287839	91395
759	288238	91022
760	288612	90641
761	289011	90268
762	289334	89871
763	289721	89495
764	290142	89128
765	290455	88729
766	290879	88363
767	291215	87971
768	291615	87598
769	292042	87233
770	292459	86865
771	292811	86478
772	293230	86110
773	293546	85712
774	293984	85350
775	294354	84968
776	294700	84579
777	295093	84203
778	295454	83819
779	295894	83457
780	296301	83085
781	296647	82697
782	296977	82304
783	297376	81930
784	297818	81568
785	298213	81193
786	298577	80809
787	298926	80421
788	299251	80027
789	299642	79651
790	300027	79273
791	300370	78885
792	300756	78507
793	301205	78146
794	301531	77753
795	301933	77380
796	302362	77013
797	302769	76640
798	303142	76259
799	303534	75883
800	303850	75488
801	304280	75121
802	304654	74740
803	305041	74363
804	305419	73983
805	305824	73610
806	306274	73247
807	306631	72862
808	307047	72492
809	307365	72098
810	307809	71733
811	308158	71347
812	308574	70975
813	308956	70596
814	309350	70220
815	309735	69842
816	310117	69463
817	310486	69081
818	310861	68700
819	311292	68332
820	311656	67949
821	312001	67562
822	312391	67185
823	312815	66814
824	313216	66439
825	313532	66046
826	313996	65684
827	314417	65313
828	314858	64946
829	315325	64584
830	315690	64201
831	316057	63819
832	316483	63448
833	316846	63065
834	317124	62665
835	317270	62239
836	317413	61814
837	317557	61389
838	317725	60969
839	318119	60594
840	318533	60222
841	318862	59834
842	319225	59452
843	319701	59091
844	320073	58711
845	320491	58340
846	320833	57954
847	321205	57574
848	321660	57209
849	322053	56832
850	322424	56452
851	322809	56074
852	323203	55698
853	323612	55324
854	323958	54940
855	324374	54567
856	324737	54185
857	325122	53808
858	325557	53438
859	325958	53063
860	326366	52688
861	326732	52307
862	327113	51928
863	327509	51552
864	327876	51171
865	328271	50794
866	328664	50417
867	329080	50044
868	329490	49670
869	329879	49292
870	330274	48915
871	330652	48536
872	331041	48158
873	331392	47775
874	331749	47392
875	332199	47023
876	332604	46648
877	333005	46271
878	333408	45895
879	333837	45523
880	334156	45135
881	334582	44762
882	334944	44381
883	335342	44004
884	335723	43625
885	336108	43246
886	336450	42862
887	336811	42480
888	337180	42100
889	337564	41721
890	337941	41341
891	338356	40966
892	338725	40586
893	339139	40211
894	339522	39832
895	339881	39450
896	340213	39065
897	340617	38689
898	341039	38314
899	341446	37938
900	341835	37560
901	342183	37177
902	342607	36802
903	343007	36425
904	343390	36046
905	343790	35669
906	344185	35291
907	344572	34912
908	344953	34533
909	345289	34149
910	345662	33769
911	346026	33388
912	346467	33015
913	346867	32637
914	347281	32261
915	347720	31886
916	348069	31504
917	348428	31123
918	348817	30744
919	349218	30366
920	349574	29985
921	349969	29606
922	350392	29231
923	350783	28852
924	351156	28472
925	351536	28092
926	351933	27714
927	352278	27331
928	352676	26953
929	353101	26577
930	353491	26198
931	353876	25819
932	354269	25440
933	354677	25062
934	355044	24682
935	355421	24302
936	355849	23925
937	356257	23547
938	356630	23167
939	357029	22789
940	357358	22406
941	357771	22028
942	358194	21651
943	358573	21271
944	359001	20894
945	359384	20514
946	359792	20136
947	360147	19754
948	360502	19373
949	360932	18996
950	361356	18618
951	361747	18239
952	362149	17860
953	362521	17480
954	362927	17101
955	363314	16721
956	363661	16340
957	364026	15959
958	364461	15581
959	364806	15200
960	365241	14822
961	365645	14443
962	366055	14064
963	366465	13685
964	366876	13306
965	367251	12926
966	367645	12546
967	368028	12166
968	368449	11787
969	368849	11407
970	369170	11025
971	369554	10645
972	369916	10264
973	370308	9885
974	370698	9505
975	371125	9126
976	371451	8744
977	371822	8364
978	372249	7984
979	372582	7603
980	373003	7224
981	373403	6844
982	373739	6463
983	374161	6083
984	374485	5702
985	374938	5323
986	375323	4943
987	375707	4563
988	376097	4183
989	376470	3802
990	376814	3422
991	377174	3041
992	377624	2662
993	378011	2281
994	378367	1901
995	378778	1521
996	379181	1140
997	379566	760
998	379953	380
999	380331	0
