iter	Logloss
0	0.6836733048
1	0.675226272
2	0.666941424
3	0.6593184275
4	0.6528289338
5	0.6453016719
6	0.6376111462
7	0.6306951195
8	0.6254317714
9	0.6182400947
10	0.6127743086
11	0.6065088449
12	0.5997763317
13	0.5940688773
14	0.5878173855
15	0.5837179855
16	0.577626382
17	0.5722177131
18	0.5672377504
19	0.5624647841
20	0.5568669476
21	0.552432274
22	0.5479096286
23	0.5439889625
24	0.5406860888
25	0.5374662121
26	0.5334486655
27	0.5286264036
28	0.5248335812
29	0.5206962948
30	0.5153732428
31	0.5114550003
32	0.5074862338
33	0.5041150616
34	0.5005847527
35	0.4974250301
36	0.4957401588
37	0.4936475092
38	0.4900165346
39	0.4865622446
40	0.4827180811
41	0.4796536377
42	0.4766987658
43	0.4742252907
44	0.4712395297
45	0.4682860103
46	0.4656598694
47	0.4632656284
48	0.4611209793
49	0.4581221192
50	0.4550758871
51	0.4525140021
52	0.4496764499
53	0.4461164034
54	0.4439335043
55	0.441557457
56	0.4394190885
57	0.4377453359
58	0.4358342613
59	0.4332987427
60	0.4310712673
61	0.4286697476
62	0.4267559318
63	0.425141581
64	0.4229704454
65	0.4213162382
66	0.4194286841
67	0.417086897
68	0.4145236778
69	0.4130263304
70	0.4116138559
71	0.4096658332
72	0.4080071381
73	0.4063333075
74	0.4049964183
75	0.4033167395
76	0.4017109383
77	0.4004445448
78	0.3987459216
79	0.3955608816
80	0.3936105899
81	0.3923048632
82	0.3910398328
83	0.3895456718
84	0.3883907086
85	0.3873713863
86	0.3856762876
87	0.3845358833
88	0.3828015513
89	0.3817228657
90	0.3802754011
91	0.3792044413
92	0.3778179373
93	0.3766119836
94	0.3750040697
95	0.3735495886
96	0.3727277897
97	0.3716385277
98	0.3702001042
99	0.3694335787
100	0.3680433054
101	0.3661484216
102	0.3647894047
103	0.3637274794
104	0.362683444
105	0.3617688228
106	0.3608086522
107	0.3593386418
108	0.3580206565
109	0.3570382406
110	0.355598735
111	0.3545146499
112	0.3534846276
113	0.352381018
114	0.3511192575
115	0.350239546
116	0.3489411923
117	0.3479926796
118	0.3470301128
119	0.3460513428
120	0.3450315506
121	0.3441705531
122	0.3434532699
123	0.3425998126
124	0.3415718412
125	0.340742563
126	0.3399523868
127	0.3392637143
128	0.3383943191
129	0.337418089
130	0.3363068383
131	0.3350564523
132	0.3344456329
133	0.3337362728
134	0.3329760001
135	0.3319633152
136	0.331130876
137	0.330152462
138	0.3290543319
139	0.3281379422
140	0.3271764513
141	0.3266325502
142	0.3261367234
143	0.3252776986
144	0.3245875501
145	0.3239282094
146	0.3227020757
147	0.3216392591
148	0.3207855005
149	0.3197094379
150	0.318784131
151	0.3183514779
152	0.3175701399
153	0.3167847798
154	0.3162003454
155	0.3153684355
156	0.3149020501
157	0.3137288948
158	0.3129626197
159	0.3123000877
160	0.3116105795
161	0.311071758
162	0.3102682012
163	0.3095884135
164	0.3087298136
165	0.3079432023
166	0.3072886994
167	0.3063709661
168	0.3057777849
169	0.3051752684
170	0.3046186218
171	0.3040287673
172	0.3036666868
173	0.302737235
174	0.301924646
175	0.3012243741
176	0.3006962774
177	0.3001414106
178	0.2994577933
179	0.29900387
180	0.2985494591
181	0.2979681447
182	0.2972978661
183	0.2968856067
184	0.2962928436
185	0.2955730201
186	0.2950630347
187	0.294272836
188	0.2937490809
189	0.2930757484
190	0.2925657127
191	0.2920930892
192	0.2913758409
193	0.2907290972
194	0.2902930369
195	0.2895210249
196	0.2887548758
197	0.2880369058
198	0.2870969871
199	0.2866428805
200	0.2861448723
201	0.2853723474
202	0.2844468708
203	0.2839685609
204	0.2833462436
205	0.282908808
206	0.2821448878
207	0.2815519631
208	0.2810977155
209	0.2804539008
210	0.2800172698
211	0.2796564148
212	0.2791853788
213	0.2784735509
214	0.2778381219
215	0.2772141801
216	0.2766483394
217	0.2760222663
218	0.2756532346
219	0.275221978
220	0.2746774911
221	0.2741643376
222	0.2738484705
223	0.2732184142
224	0.2726493354
225	0.2720324852
226	0.2716708216
227	0.2712378676
228	0.2709024632
229	0.2704294499
230	0.2699278371
231	0.2693597726
232	0.2689000146
233	0.268386231
234	0.26789332
235	0.2675176205
236	0.2671183373
237	0.2667126702
238	0.2662937605
239	0.2659041944
240	0.2655120636
241	0.2651921971
242	0.2648075141
243	0.2640703863
244	0.2636401731
245	0.2632013587
246	0.2622374017
247	0.2617366566
248	0.2611076548
249	0.2607848345
